name_comment,rating,time,review
Ngo Quang Minh,4 stars,10 months ago,"Tọa lạc tại một trong những con phố cổ sầm uất nhất Hà Nội, Bệnh viện Đa khoa Hồng Ngọc 55 Yên Ninh, Ba Đình với 16 tầng nổi, 1 tầng hầm, được thiết kế hiện đại, sang trọng; là tổ hợp dịch vụ y tế, chăm sóc sức khỏe chất lượng cao hàng đầu thủ đô.
Với sự phát triển lớn mạnh trong 17 năm qua, đến nay bệnh viện có 25 khoa phòng bao gồm các chuyên khoa như khoa Phụ sản, khoa Nhi, khoa Ngoại, khoa Nội, khoa Xét nghiệm, khoa, khoa Chẩn đoán hình ảnh, khoa Mắt, khoa Tai Mũi Họng, khoa Răng Hàm Mặt, khoa Dược…

Hệ thống khoa phòng đa dạng, chất lượng phục vụ đạt tiêu chuẩn quốc tế, Bệnh viện Đa khoa Hồng Ngọc đã và đang đáp ứng được nhu cầu khám chữa bệnh không chỉ của người dân thủ đô mà còn của các tỉnh lân cận thuộc khu vực phía Bắc."
Yến Nguyễn,1 star,10 months ago,"Chất lượng dịch vụ và chăm sóc khá ổn, nhưng chuyên môn y khoa có vẻ ko tin cậy, tư vấn dịch vụ với mục đích thương mại hơn là chữa bệnh"
Siri Phong,5 stars,5 months ago,"Bệnh viện khang trang, đầy đủ các khoa, dịch vụ tốt."
Ba Son,5 stars,5 months ago,"Lịch sự, nhân viên ân cần giúp đỡ người nhà và bệnh nhân"
Phan Thuy Linh,1 star,a year ago,"Cách đây chục năm mình có khám định kỳ ở đây, vào thời điểm đó thì Hồng Ngọc là 1 trong những lựa chọn tốt. Tuy nhiên hôm nay mình khám lại thì cơ sở vật chất tệ đi, ko update sau bao nhiêu năm, phòng vô trùng ko sạch sẽ, đội sale hơi ngơ ngơ, thủ tục làm bảo hiểm rất lằng nhằng, và chưa kể chuyên môn hơi tệ. Mình đến nội soi dạ dày đại tràng lần 2. Trước đó mình đã nội soi ở 1 bệnh viện khác, và thấy rằng quy trình ơt Hồng Ngọc hời hợt ko chuyên nghiệp, đánh giá sợ bộ chuyên môn kém."
Thanh Hien Nguyen,5 stars,a year ago,"Phòng ốc sạch sẽ gọn gàng, ngày 2-3 lần được dọn dẹp vệ sinh, sạch sẽ lắm.
Hàng ngày các bsi vào thăm khám cho mẹ và bé đầy đủ, kĩ càng. Các cô đưa bé đi tắm trả về cho mẹ sạch sẽ thơm tho.
Nói chung mình k có chê điểm gì cả khi quyết định đẻ ở đây. Ck mình bảo đi đẻ như đi nghỉ dưỡng như này thì đẻ 2-3 em nữa cuzng dk 😂😂"
Sói Phương,5 stars,11 months ago,"Lễ tân, y tá, bác sĩ đến chú bảo vệ của Hồng Ngọc rất thân thiện, nhẹ nhàng, chu đáo, hỗ trợ và hướng dẫn bệnh nhân tận tình. Chủ động hỏi bệnh nhân cần giúp đỡ gì. Đặc biệt là các anh chị ở tầng 14. Mình rất hài lòng về dịch vụ bên bệnh viện. ❤️❤️❤️. Thêm nữa là không gian phòng ốc sạch sẽ thoáng mát. Nói chung là rất có thiện cảm với Hồng Ngọc. 🥰🥰🥰"
Van Lo,1 star,11 months ago,Nếu có không sao mình cũng sẵn sàng đánh giá 0 sao. Thật sự tồi tệ và thất vọng. Nhân viên thì cục cằn. Mình đi kiểm tra pcr covid trước khi đi nước  ngoài. Giá 500k vnd. Và họ đòi thêm 500k vnd cho phí “dịch thuật”. Trong khi đó mình có nhiều người sử dụng dịch vụ của Thu Cúc hay Medlatec chỉ thu 500k vnd phí xét nghiệm trả form kết quả tiếng anh (có thể sử dụng được để bay quốc tế đến các nước yêu cầu kết quả PCR).
Hà Phương,4 stars,a year ago,"kể mà HN mở thêm phòng khám Đông Anh thì tốt, mỗi lần khám hay cho con đi tiêm toàn phải chạy qua savico hơi xa một chút nhưng mà quen bao lâu nay rồi nên không muốn đổi chỗ khác"
yến nguyễn,5 stars,a year ago,"""Mẹ con em nằm viện 1 tuần được bác sĩ Bàn trưởng khoa trực tiếp thăm khám. Bác rất nhẹ nhàng và vui tính, thường xuyên sang phòng hỏi han và dặn dò người nhà.
Cần gì bấm số máy bàn sẽ có các chị điều dưỡng , mình không nhớ hết tên nhưng tất cả các chị rất nhiệt tình, còn dỗ và chơi với con khi mẹ đang bận việc riêng.
Mình ở phòng vip rất rộng rãi, có ban công rất rộng 1 mình 1 khuôn viên luôn."""
Tiên Huỳnh Thủy,5 stars,3 months ago,
Nguyen Anhtho,3 stars,a year ago,"Mình mua gói thai sản ở đây từ 16 tuần, thái độ của các bạn Kinh doanh rất tốt. Tuy nhiên, cơ sở vật chất và thái độ của một số nhân viên hơi khiến mình thất vọng. Có thể bệnh viện đang sửa chữa lại nên mình thấy chưa được sạch sẽ lắm. Nhân viên y tế, công nhân xây dựng, tạp vụ đẩy xe rác đi cùng thang máy với bệnh nhân, khu vực sửa chữa và khu vực thang máy ko có vách ngăn cẩn thận với các khu vực khác khiến mình cảm thấy không thoải mái. Thái độ 1 số bác sỹ mình hơi không hài lòng, nhưng do đã khám từ đầu và khá nhiều lần với bác sỹ nên mình cố gắng theo... Anw. Có thể cân nhắc chuyển lên bệnh viện mới xem có khả quan hơn không."
Nam Nguyen,1 star,a year ago,Trước tiên tên tuổi của Hồng Ngọc bệnh viện có sao 🌟 thì chất lượng phải tương ứng từ khâu lễ tân hướng dẫn cũng phải có sao - tôi vào khám tim vì thấy nhói tức sau khi tiêm mũi 2 vácxin và có đọc thông báo trên cổng thông tin y tế về phản ứng phụ cần đi khám - mà lễ tân chỉ qua bên phải làm rồi hỏi thấy kêu có tức nhói lại chỉ qua bên trái rồi thái độ rất kiểu nghi ngờ nói to có tức ngực qua bên kia ( đành rằng phải cẩn trọng trong mọi khâu sàng lọc ) nhưnh cách làm thì như hàng chợ tôm cá ! Đã xác định cái gì đâu mà đẩy tới đẩy lui thái độ rất mất trật tự - và hồng ngọc sẽ thiếu 1 người khách thôi ! Uh thì chắc đông nên mới thế - say Bye Hồng ngọc tôi đánh giá 1 sao ngay từ vòng gửi xe
NGUYỄN THU HÀ,5 stars,a year ago,"Khám sức khỏe tổng quát cực kỳ thoải mái, có người dẫn đi từng phòng, thái độ nhân viên y tế lại cực kỳ dễ chịu"
Đinh Văn Hải,3 stars,8 months ago,Bệnh viện xây lâu. Hơi chật
Xuân Đại Đặng,5 stars,a year ago,
Ngọc Diệp Nguyễn Hoàng,5 stars,a year ago,"Đã khám ở đây nhiều lần. Nhân viên nhiệt tình, nhẹ nhàng, bác sĩ giải thích rất kỹ"
NGA TRAN,5 stars,a year ago,"Đưa bố mẹ đi khám ở đây mình hoàn toàn yên tâm vì được từ lễ tân, y tá hướng dẫn rất tận tình. Chuyên môn bác sĩ rất tốt."
Nhung Nguyễn,1 star,6 months ago,"Bảo vệ lại đi chửi khách hàng, khinh thường khách hàng , không được đào tạo à"
Anh Trần Thị Phương,5 stars,6 months ago,Dịch vụ khám sức khỏe tốt. Nhân vien chăm sóc nhiệt tình
Lina Le,1 star,a year ago,"bệnh viện có ca f0, bệnh nhân bị bệnh viêm amidan muốn hỏi qua bv khám đc ko, gọi từ lúc trưa bảo 1h30 mình qua, có ng khám cho mình. 1h45 mình qua bv thì các bạn bv gây khó dễ cho mình bảo phải khai báo y tế trc. hỏi có bác sĩ khám đc cho mình ko, các bạn trực ngoài bảo có. điền xong thông tin khai báo bạn ý bảo mình quay lại lúc 4-5h đc ko vì có bác sĩ nhưng máy móc ko làm việc. mình tức quá đi về băn khoăn vì vô lý sao mà 4-5h lại sửa đc máy móc mà có chắc ko. Bạn ý bảo vì đang có f0 trong bv nên ko vào trong khám đc. ko chỉ vì thế mà các bạn ý ko hề cảnh báo gì mình trc, kiểm tra covid thì cx rất sơ sài, ko cảm thấy an toàn khi qua hồng ngọc nên mình qua việt pháp họ làm việc rất chuyên nghiệp."
Sam Lee,1 star,a year ago,"7h30 ssang 1/11, nhân viên nu kiểm tra đeo kinh cua tầng 10 trò chuyện với các nhân viên khác. khong bao gio gnhe cau hoi tieng Viet gian đoan. no tiep tuc cắt lời và noi rang đợi nhan vien phiên dịch tiếng Hàn. tai sao nhan vien nay ngoi cho nay?"
duc nguyen,5 stars,a year ago,"mua bảo hiểm để ốm đau gì đk nằm viện này sướng hơn ở nhà, cơm ăn 3 bữa chính 2 bữa phụ, quần áo mặc cả ngày :)))"
Nguyen Sy Hoa,5 stars,4 months ago,"Dịch vụ tốt, thân thiện người bệnh!"
Tâm Nguyễn Thị Ngọc,5 stars,4 months ago,Nhà hàng đẹp và ngon như ks 5*
Nguyen Van Hong,4 stars,4 years ago,
luong thai nguyen,1 star,2 years ago,"Mình cho con đi khám ở hồng ngọc bị viêm phế quản và viêm tai giữa xung huyết chỉ định nhập viện, nằm tận 9 ngày ko khỏi mà còn nặng hơn, thậm chí bs còn chỉ định chọc hút màng nhĩ hoặc đặt ống tiểu phẫu trong khi bệnh ...rất nhỏ nhặt, dễ chữa nên mình phải chuyên viện khác may là chuyển kịp thời nên con mình chỉ cần tiêm thuốc là khỏi ko cần phẫu thuật. Thực sự rất thất vọng về trình độ chuyên môn cũng như thái độ nhân viên ở đây
- Bệnh viện bé, phòng nhỏ ( có thể là cải tạo từ khách sạn trong phố cổ) chứ ko phải là mô hình của 1 bệnh viện chuyên nghiệp. Trang thiết bị đã cũ và xuống cấp. Đồ dùng vật chất trong phòng bệnh thiếu nhiều. Lúc đầu vào con mình còn phải ở phòng chung 4 người , giường là giường phụ rất chật chội và thiếu trang thiết bị mặc dù giá phòng tiêu chuẩn không rẻ ( 1tr250k/giường phòng chung) .Ở các viện tư khác phòng tiêu chuẩn chỉ 1-2 giường. 2 ngày sau mới xin dược sang phòng đôi
- Vệ sinh chung: ko sạch từ nền nhà bên ngoài đến trong phòng bệnh, nhân viên vệ sinh làm ẩu, dối, quyét phòng mà vẫn còn nhiều rác
- Nhân viên y tế: không nhiệt tình, thái độ không thân thiện bệnh nhân vừa  đến phát cho đống thuốc không giới thiệu thuốc gì có tác dụng gì  cũng như hướng dẫn cho người nhà dùng như thế nào. Đến khi con không uống được thuốc nôn hết ra thì lại chạy mất dép, không hề hỗ trợ người nhà 1 tay
- Trình độ bác sĩ: chuyên môn không cao, giải thích vì sao bệnh tình con mình từ nhẹ thành nặng thì nói lòng vòng, không có chuyên môn, hết bác sĩ này vào đến bác sĩ kia vào nói luyên thuyên trong khi thực tế là quy trình chữa bệnh sai, kê thuốc không hiệu quả dẫn đến bệnh tình con mình nặng thêm

Nói chung sau lần trải nghiệm dịch vụ khám chữa bệnh ở Hồng Ngọc, mình sẽ không cho con quay lại đây khám chữa bệnh nữa nếu bệnh viện không cải thiện dịch vụ và trình độ y bác sĩ. Lựa chọn sai bệnh viện khiến mình và gia đình tốn rất nhiều thời gian và tiền bạc, con cái thì phải tiêm và uống bao nhiêu thuốc mà chi phí chữa trị không hề rẻ. Hiện nay rất nhiều bệnh viện tư mọc ra rất cạnh tranh về dịch vụ và chất lượng nếu để khách hàng "" tiền mất tật mang"" như mình đã trải nghiệm ở Hồng Ngọc thì không xứng đáng làm nghề và kinh doanh nghề bảo vệ sức khỏe cho mọi người !"
Duy Khoa,5 stars,5 months ago,"thủ tục nhẹ nhàng, nhân viên hướng dẫn tận tình"
Nguyen Van,1 star,9 months ago,Cả 1 bệnh viện lớn mà khám ko có chuyên môn. Quá thật vọng
Tuanh Tran,1 star,a year ago,Mình cho hai đứa nhà mình ra đây khám. Một đứa bị viêm phế quản và tai giữa. Còn đứa bé thì bị viêm phế quản. Bác sỹ chỉ định nằm viện con nhà mình nằm viện 8 ngày. Sau 8 ngày điều trị xong ra viện thì về hai đứa vẫn ho không khỏi mà còn bị nặng thêm. Ra viện thì bác sỹ không kê cho đơn thuốc uống sau khi ra viện gì cả. Xong rồi về thì cả hai vẫn ho rồi ăn ói. Ra viện Nhi TW khám thì bsy kl vẫn viêm phế quản với tai giữa.
viet chau nguyen vu,1 star,7 months ago,Quá chán. Chưa thấy ở đâu khám NẢN như ở Hồng Ngọc
Huyền Võ Thị Thu,5 stars,4 months ago,
Minh Phạm Đức,5 stars,9 months ago,"Chất lượng món ăn tươi ngon, phục vụ tốt, nhân viên thân thiên, chắc chắn sẽ quay lại"
Trương Đình Nam,5 stars,2 years ago,
Huế Thảo Lê,5 stars,5 months ago,Thích nhất khâu làm thủ tục nhanh chóng
Phuonganh Tran,5 stars,a year ago,
Hiếu Tò Mò,5 stars,a year ago,"Bệnh viện khá tốt, bác sĩ tận tình tư vấn nhiệt tình chuyên môn cao, giải đáp được các thắc mắc của mình. Tuy nhiên cần nhanh hơn trong thủ tục hành chính với bảo hiểm."
Ngọc Diễm Đào,1 star,a year ago,Bác sĩ y tá tử tế nhiệt tình cơ sở vật chất ổn nhưng bị đau tai đi khám bs nói bình thường nhưng 1 tuần sau tai vẫn k đỡ mình đi khám ở tai mũi họng TW thì bs nói là bị viêm tai ngoài. Không hiểu bs ở đây khám kiểu gì mà k ra bệnh buồn hết sức.
NT Tuan,1 star,2 years ago,"Không có chỗ để xe ô tô cho khách. Rất chật chội. Bảo vệ không có hướng dẫn

Đã vậy còn có ý cố tình giữ bệnh nhân ở lại để phát sinh thêm chi phí. Gây thiệt hại cho người bệnh và bên bảo hiểm"
An Võ Vương Thúy,5 stars,4 months ago,Nhân viên hỗ trợ và tư vấn tốt.
Duc Doan Xuan,5 stars,2 years ago,
Truong NGUYEN VAN,1 star,a year ago,"Mình đi nhổ 1 răng số 8 ở đây, về ăn cháo 2 hôm, đau 1 tuần, đến cái thứ 2 giống vậy đi nhổ chỗ chuyên khoa răng khác, nhổ chiều, tối ăn cháo , hôm sau ăn cơm bình thường và không đau. Đúng là cái gì chuyên nó cũng tốt hơn chỗ làm nhiều thứ."
Loan Nguyen,1 star,4 years ago,"Quá trình hành xác tại bvien hồng ngọc. Tôi ho nửa tháng thì đi hồng ngọc khám, cuối cùng thành ho 2 tháng với vô số kháng sinh. Ko khỏi
- Lần 1 : bác sĩ chẩn đoán viêm phế quản, cho thuốc uống 1 tuần ko khỏi. Lại đi khám
- Lần 2 : bác sĩ khác bắt đi nội soi dạ dày vì lý do “ có thể trào ngược dây ho “ và vài xét nghiệm khác. Uống hơn 1 tuần vẫn ko khỏi. Gần 5 triệu tiền xét nghiệm
- Lần 3 : Lần này cho sang tai mũi họng khám thì chẩn đoán, “ viêm họng xuất tiết “. Và cũng lại uống 1 tuần. Vẫn ho
- Lần 4 : Lần này cho khám hẳn khoa cấp cứu, bác sĩ bắt đi chụp CT phổi, phâm tích lao , máu...v.v. Ok đi chụp, lại vài triệu. Và kết luận “ Viêm Phổi “ truyền kháng sinh liều cao 7 ngày. Lúc truyền + uống thuốc thì đỡ ho. Sau đó vẫn ho.
- Lần 5 : lại 1 bác sĩ khác bắt đi chụp X và phán. Phổi đẹp đã khỏi. Nhưng về vẫn ho và khó thở, tổng kết hồng ngọc cả thuốc + xét nghiệm gần 15 triệu. Đó là có bảo hiểm

Cuối cùng ra viện Phổi Trung Ương khám. Bác sĩ xem tất cả các ảnh X Quang + CT phổi. Bác sĩ nói “ phổi đẹp ntn sao lại tiêm kháng sinh liều cao, cho xét nghiệm lại tất hết có 1 triệu + thuốc 500k, cam kết uống sẽ khỏi. uống 2 ngày đỡ hẳn luôn. Ko còn ho. Ko mệt. Lần sau ae nên ra các viện đầu ngành khám. Chứ nói thật vì cái bảo hiểm m mới vào khám mà mỗi lần 1 bác sĩ 1 kết luận ntn thì chỉ khổ ng bệnh."
Lưu Khánh Huyền,1 star,3 years ago,"Bệnh viện tư nên dịch vụ tốt, nhưng bác sỹ chuẩn đoán bệnh linh tinh, yêu cầu bệnh nhân làm nhiều xét nghiệm kiểm tra đắt đỏ, cuối cùng không xác định được bệnh chính xác, uống thuốc không thấy khỏi, lại còn gọi điện thoại hẹn lịch tái khám và nhắc khách ngay là tài khám vẫn mất các chi phí như bình thường :)) tái khám rồi yêu cầu mình lm thêm 10 cái xét nghiệm nữa mà ko khỏi bệnh thì định tính sao. Tóm lại đây là lần cuối :)"
Pham My Hanh,1 star,2 years ago,"Quy trình làm việc có vấn đề. mình đặt lịch khám từ thứ 7, vẫn nhận lịch bình thường, không thông báo gì về việc ko nhận bệnh nhân đến khám nếu đi từ Đà Nẵng về (dù đã hết thời gian cách ly theo quy định). Thứ 3 mình đến khám thì bệnh viện đề nghị khai tờ khai y tế, bạn tiếp nhận thông tin cũng không nói năng j. Đến khi ngồi chờ kgams sàng lọc thì 1 bạn ra nói là bệnh viện em ko cho người từ ĐN về trong vòng 21 ngày đến khám. WTH??? Quá bức xúc vì bệnh viện coi thường khách hàng.
1. Không đưa ra thông báo, quy định ngay từ đầu để khách hàng đỡ mất tgian
2. Bệnh viện từ chối bệnh nhân kiểu này có đúng ko?????"
Dai Nguyen Van,5 stars,6 years ago,Đây là một trong những bệnh viện tư nhân có chất lượng tốt. Nhân viên phục vụ rất nhiệt tình. Các bệnh nhân khi đến khám bệnh đều được tặng 1 phiếu ăn buffet miễn phí. Bệnh viện cũng liên kết với nhiều công ty bảo hiểm giúp cho các bệnh nhân có thể thanh toán một cách thuận lợi.
Duy Tien Vu,2 stars,3 years ago,
Linh Võ Thị Trà,5 stars,4 months ago,5 sao cho chất lượng dịch vụ
Linhlu Bui,1 star,2 years ago,
lý Lê,5 stars,5 years ago,
Minh Hoang Nguyen,5 stars,a year ago,
Tran Emily,1 star,a year ago,"Gọi điện lên tổng đài đợi dài cổ không có ai nghe máy. Ngày xưa để các chi nhánh nghe điện còn tiện, giờ cứ phải thông qua tổng đài. Gọi từ hôm trước đến hôm sau cũng ko có ai nghe. Thế thì để số điện thoại làm gì???"
Manh Nguyen,4 stars,2 years ago,
Vân Nguyễn Thị Thu,5 stars,4 months ago,Dịch vụ tốt hơn cả mong đợi
nhan nguyen,1 star,3 years ago,"Mình vừa sinh em bé tại Hồng Ngọc cách đây một tuần.
Mình có trải nghiệm không mấy vui vẻ gì. Nó làm mình bức bối và cảm giác bị xúc phạm mãi cho đến tận bây giờ. Trong lúc mình đang trên bàn sanh con thì cô y tá đó lại đem cơ thể mình ra đùa cợt với một vị bác sĩ nam. Mình bị ảnh hưởng ngay lúc đó nhưng không thể nói gì vì sợ họ đỡ đẻ không tử tế.
Còn nữa, trong gói của họ có ghi sẽ cung cấp toàn bộ từ đồ ăn cho bé... nhưng sau khi sinh xong, con mình phải đợi rất lâu cũng không được ăn, phải đến gần 5 tiếng sau và họ cũng không hướng dẫn mình cách cho con ti mẹ.
Đây là 2 trải nghiệm tồi tệ nhất. Ngoài ra còn rất nhiều vấn đề về thái độ phục vụ, ví dụ mình có thuê phòng riêng nhưng không một bác sĩ, ý tá nào gõ cửa khi vào phòng. Có lúc mình đang nằm quay ra đã thấy một cô y tá đứng cạnh...
Việc này tế nhị nhưng tôi cũng mong chia sẻ ở đây để bạn cân nhắc khi lựa chọn dịch vụ của bệnh viện đó

In English: Consider if you think about having your baby born here
Last week, I had my baby born in this hospital and I experienced something very unacceptable and unhappy. I feel offended until now. Why I was in labor and on the process of pushing my baby out, a nurse there joked about my body with a male doctor and laughed. I felt angry right away but I didn't say anything because I was in the middle of something very important and I didn't want her to treat my baby unwell.
And then after the birth they didn't instruct me to breast feed the baby. My family asked a nurse and the nurse immediately showed unwilling to support attitude then they waited most five hours to bring milk for my baby though it is included in the package. I did call them once to ask about that but they literally ignored.
And so many more bad experiences here but these two are the worst I couldn't expect."
Xuân Lãm Nguyễn (Lãm Curtis),1 star,3 years ago,
Trọng Phạm,5 stars,a year ago,"Bệnh viện đẹp như khách sạn 5*, bác sĩ giỏi và rất nhẹ nhàng"
Hoang Do,4 stars,2 years ago,Khám ổn
Nguyễn Xuân Phong,4 stars,3 years ago,"Bệnh viện sạch đẹp. Có 2 điểm trừ. Thang máy trong bênh viện có 2 cái làm việc đi lên đi xuống lúc đông người quá lâu. Cái này ai mà đẻ gấp hay cấp cứu là phải chờ thôi không có cách nào nhanh hơn được. Vị trí bệnh viện không thuận lợi cho việc đỗ xe ô tô do mặt đườnh đông người qua lại, nên ai đi khám nên đi bằng taxi sẽ dễ dàng hơn nhé."
Thục Trang Nguyễn,2 stars,4 years ago,
Hai Tu,5 stars,3 years ago,Bệnh viện đã tiếp nhận ca nhiễm sat ncovi 2   dương tính và đã chuyển đến bệnh viện nhiệt đới 2 . Xin kính chúc toàn thể cán bộ nhân viên bv bình an
Nguyễn Hoàng Lan,5 stars,4 weeks ago,Quy trình khám nhanh
Linh Hoang,2 stars,5 years ago,"Hôm nay thử đi khám ở bệnh viện ĐK QT Hồng Ngọc 55 Yên Ninh để xem thế nào, nếu tốt sau này sẽ đi lâu dài cho tiện vì gần chỗ ở. Tuy nhiên, mình thật sự khó chịu vì quy trình thủ tục đăng ký khám chữa bệnh gói bảo hiểm PVI ở bệnh viện này rất phiền phức, mất nhiều thời gian và gây ức chế cho bệnh nhân (là mình - vì không biết người khác cảm thấy thế nào). Đăng ký khám bác sĩ xong, nếu có chỉ định siêu âm xét nghiệm gì, lại phải quay lại quầy bảo hiểm để đăng ký tiếp. Phòng khám tận trên tầng 13, mà thang máy chỉ có 2 cái dùng chung cho bệnh nhân, xe đẩy, giường bệnh, hàng hóa, khách,... tốc độ vô cùng chậm, đứng chờ thang 10-15', leo lên leo xuống mấy lượt mất cả tiếng đồng hồ chỉ để đăng ký giấy tờ thủ tục bở cả hơi tai, chưa kể 1 em nhân viên ở quầy đăng ký có thái độ xấc xược khi mình phàn nàn. Trước nay mình hay đi khám gói bảo hiểm PVI ở BVQT Thu  Cúc và  Phòng khám Medelab, mọi thủ tục đều nhanh chóng và thuận tiện: đăng ký 1 lần ở quầy bảo hiểm rồi đi khám đến khi xong thì quay lại các bạn quyết toán chi phí, các bạn nhân viên ở đó làm việc rất nhanh nhẹn và chuyên nghiệp; nên mới có cơ sở để so sánh dịch vụ của BV Hồng Ngọc. Lần đầu cũng là lần cuối đến BVĐK QT Hồng Ngọc!"
diep khoai,1 star,3 years ago,"KHÔNG BAO GIỜ ĐẾN HỒNG NGỌC LẦN THỨ 2.
Mình gọi cấp cứu lúc 9h tối ngày 4/10, gọi Hồng Ngọc Yên Minh đến Ngọc Thụy, Long Biên (5km), xe đi gần 1h mới đến nơi, gọi điện hỏi đi đến đâu rồi thì cứ bảo ""Em đang đi"" trong khi bệnh nhân đau không chịu được. Không biết đường, cũng không biết sử dụng google map trong khi địa chỉ rất dễ tìm.  Người nhà bệnh nhân nhắn tin địa chỉ vào điện thoại không thèm đọc.
Đến viện bác sĩ thiếu chuyên môn, bệnh nhân đau mà lăn lên bàn chụp x-Quang, lăn xuống, xem xong phim lại lăn lên bàn chụp 1 lần nữa để ""chụp chân lành để so sánh"".
Lăn bệnh nhân lên bàn chụp xong thì y tá gọi người nhà bệnh nhân vào để giúp điều chỉnh tư thế trong khi 1 nữ, 2 nam y tá thì mau mau chóng chóng đi ra ngoài. Có lẽ không muốn ở trong phòng x-quang có tia X không tốt.
NHỮNG TRƯỜNG HỢP BỆNH NHÂN NGUY CẤP ĐỢI ĐƯỢC XE CẤP CỨU CỦA HỒNG NGỌC ĐẾN CHẮC CŨNG TẮC THỞ LÂU RỒI.
RÚT KINH NGHIỆM KHÔNG BAO GIỜ ĐẾN BV NÀY LẦN T2 DÙ CÔNG TY LÀM THẺ BẢO HIỂM Y TẾ CHO Ở CHÍNH HỒNG NGỌC YÊN MINH LUÔN."
Thang NA,4 stars,2 years ago,Bệnh viện phục vụ rất tốt nhân viên bác sĩ nhiệt tình ngoài ra còn có chỗ cho bé chơi trong lúc chờ rất ok
Mak Nguyễn,4 stars,3 years ago,Dịch vụ khám ở đây về cơ bản là tốt. Phí trọn gói cao hơn viện trung ương. Chọn bác sĩ giỏi thì hên xui vì các bác sĩ còn làm việc thì bận ở viện kia hơn còn bác sĩ đã nghỉ hưu thường nhiều tuổi
Khoi Nguyen,1 star,a year ago,6:20p tối gọi đến cả 20 phút mà không liên hệ dc với lễ tân ở địa chỉ Cosmo. Thật là không hài lòng .
Lê H Hoàng,1 star,2 years ago,"Vợ tôi đến khám loạn thị, bác sĩ dùng tay không vạch mí mắt, đến khi về nhà vợ tôi bị mọc lẹo cả hai mắt, nghi vấn tay bác sĩ bẩn, khám các bệnh nhân không đeo găng tay, không rửa tay."
hoàng phạm,2 stars,4 years ago,Mình không hiểu sao con gái mình mới 7 tháng tuổi. Nằm viện mà phía bệnh viện lại sắp xếp 1 người lớn bị nghi cúm nằm cùng. Mình rất bức xúc về việc này nên đã xin ra viện sớm cho con. Mong phía bệnh viện lưu ý giùm.
Giang Dang,5 stars,5 years ago,"Tuần trước tôi đưa bác đến bệnh viện Hồng Ngọc khám đại tràng. Phải nói bệnh viện này rất tốt về dịch vụ và chất lượng.  Thường thì mỗi lần đi khám, sau khi nội soi xong bác tôi rất mệt và đau. Nhưng hôm khám ở đây được bác sĩ nội soi thì thấy rất khỏe.Bbác được gây mê nội soi, sau đó được nghỉ ngơi tại phòng theo dõi, còn được phục vụ đồ ăn nhẹ nữa. Bác sĩ rất nhiệt tình, phân tích bệnh, cho thuốc và tư vấn chế độ ăn uống, theo dõi tại nhà cho bác tôi. Tôi và bác đều rất an tâm và hài lòng với lần khám vừa rồi ở bệnh viện Hồng Ngọc."
Nhật Anh Travel,5 stars,3 years ago,"Năm 2003, Bệnh viện Đa khoa Hồng Ngọc được thành lập trong bối cảnh ở Việt Nam còn khá lạ lẫm với hệ thống bệnh viện tư nhân. Từ những ngày đầu đi vào hoạt động, Hồng Ngọc đã từng bước tạo dựng uy tín và danh tiếng với mô hình bệnh viện – …"
Trần Chiến Thắng,3 stars,2 years ago,Bênh viên tư nhân . Dich vu khám chữa bênh rất đắt .Bênh nhân phải làm quá nhiều công đoan để chẩn đoán đươc bênh rất tốn kém
Lê Phan,5 stars,3 months ago,Bệnh viện tốt ở Hà Nội.
Nguyen tuan thiep,1 star,4 years ago,"Bác sĩ của phòng khám đã chẩn đoán sai. Tôi có người bạn ngoại quốc du lịch tại hà nội, không may ông ấy bị ngã xe máy. Phòng khám chẩn đoán nứt xương dưới khớp vai và chỉ định nẹp đai cố định. Nhưng sau đó ông ấy đã rất đau do vết thương nhiễm trùng - không có kháng sinh, và mỗi khi đi lại xương tay không ổn định... Không thể tin tưởng, bạn tôi đã phải bỏ dở kỳ nghỉ để về nước sớm để chữa trị, ở đó họ nói, ông ấy bị gẫy tay và phải bó bột trong 3 tuần."
Đình Tĩnh Nguyễn,5 stars,6 years ago,
Nguyễn Tùng Lâm,5 stars,2 years ago,"Dịch vụ khám bệnh khá tốt, có lễ tân dẫn đi, khám xong còn được tặng phiếu ăn ở nhà hàng trên tầng 4, đồ ăn ngon"
Quyet Pham,5 stars,5 years ago,"Đúng tiền nào của đấy. Từ nhân viên bảo vệ đến bác sĩ, y tá bệnh viện rất tận tình tiếp đón chăm sóc bệnh nhân, người nhà. Bệnh viện rất sạch sẽ, nhìn thiện cảm. Đây đúng là nơi chữa bệnh đáng đồng tiền. Nếu có điều kiện nhất định mình sẽ đưa người nhà đến đây thăm khăm bệnh mỗi khi."
Trang Nguyễn Thùy,1 star,4 years ago,"Bệnh nhân trả chi phí cao để được hưởng dịch vụ tốt. Nhưng những gì nhận được không xứng đáng với số tiền bỏ ra -_-
Tôi đã khám chuyên khoa mắt tại phòng khám Hồng Ngọc - Savico Long Biên."
Vũ Hữu Hùng (Michael Hùng),5 stars,4 years ago,"Dịch vụ tốt và chất lượng, bác sỹ rất tận tình và chu đáo ;) Nữ hoàng hoa hồng cổ, hoa hồng ngoại Vietgarden Phạm Thiên Trang hôm nay đưa con gái đi khám và cảm thấy vô cùng hài lòng ;)"
